,,,,,,,,,,,,,,,,Normalised abundance,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,C_Norm,,,,,,A_LD,,,,,,B_HD,,,,,,QC,,,
Compound,Neutral mass (Da),m/z,Charge,Retention time (min),Drift time (ms),Chromatographic peak width (min),Identifications,Anova (p),q Value,Max Fold Change,Highest Mean,Lowest Mean,Isotope Distribution,Maximum Abundance,Minimum CV%,C_Norm_1,C_Norm_2,C_Norm_3,C_Norm_4,C_Norm_5,C_Norm_6,A_LD_1,A_LD_2,A_LD_3,A_LD_4,A_LD_5,A_LD_6,B_HD_1,B_HD_2,B_HD_3,B_HD_4,B_HD_5,B_HD_6,D_QC_1,D_QC_2,D_QC_3,D_QC_4
7.46_157.0234m/z,,157.0233959,1,7.46365,1.565959285,0.126166667,0,0,0,Infinity,B_HD,A_LD,100 - 2.53,262.3318865,2,0,0,0,0,0.005158553,0,0,0,0,0,0,0,259.1481187,261.5996141,254.12486,265.2140422,264.8596048,269.0450793,61.31192781,59.2774619,66.00976752,66.4772487
6.21_414.0367m/z,,414.0366502,1,6.20885,4.049894703,0.1476,0,0,0,Infinity,B_HD,C_Norm,100 - 7.04,243.4901157,4.02,0,0,0,0,0,0,0,0,0,0,0,0,230.2611351,243.8907024,238.8835367,243.054051,260.2471692,244.6040995,93.81583872,106.1847796,111.9664179,119.6983733
4.08_235.3121m/z,,235.3120815,1,4.08265,2.537934014,0.111916667,0,0,0,Infinity,B_HD,C_Norm,100 - 2.8,243.1693201,2.84,0,0,0,0,0,0,0,0,0,0,0,0,240.6718264,244.5177993,232.5538619,249.1703216,240.3410589,251.7610522,69.21768232,69.24848684,58.03176075,61.04909652
2.96_315.2995m/z,,315.2994803,1,2.956533333,2.969922782,0.1119,0,0,0,Infinity,B_HD,C_Norm,100 - 1.23,241.9240357,6.75,0,0,0,0,0,0,0,0,0,0,0,0,256.7795542,237.1705361,245.9150594,263.6529862,230.1179261,217.9081525,52.34175098,46.290628,50.45335702,54.33554114
7.46_214.0455m/z,,214.0454501,1,7.46365,2.105945245,0.111883333,0,0,0,Infinity,B_HD,C_Norm,100 - 2.93,241.1690212,5.25,0,0,0,0,0,0,0,0,0,0,0,0,260.7106605,233.8729715,249.2071184,232.0058863,224.8906238,246.3268667,56.68443701,61.71530579,63.50164289,58.12271359
7.11_308.2544n,308.2543502,309.2616267,1,7.111333333,2.969922782,0.1119,0,0,0,Infinity,B_HD,C_Norm,100 - 0.543,223.3545092,4.28,0,0,0,0,0,0,0,0,0,0,0,0,228.0793088,227.7255166,205.8467279,220.5132507,224.7040133,233.2582381,61.46842997,77.46053874,63.35628494,54.4686667
3.53_270.0909m/z,,270.0908578,1,3.532733333,2.483935418,0.126166667,0,0,0,Infinity,B_HD,C_Norm,100 - 5.79,221.9497439,4.55,0,0,0,0,0,0,0,0.368284502,0,0,0,0,211.8612243,214.3468061,215.12119,225.8593811,226.0702796,238.439582,47.00466099,33.3523168,53.16945506,50.83739605
3.69_195.2068m/z,,195.2067772,1,3.694616667,1.943949457,0.107116667,0,0,0,Infinity,B_HD,C_Norm,100,188.3477099,2.88,0,0,0,0,0,0,36.07104145,32.80453073,37.09569246,35.30745536,41.69691607,38.88385511,186.6125625,193.2734142,184.6931042,182.3118592,196.5523373,186.6429822,67.52328241,70.11504822,62.0813971,65.06917097
5.17_180.1738m/z,,180.1737522,1,5.173033333,1.997948053,0.119033333,0,0,0,Infinity,B_HD,C_Norm,100,169.0836684,4.52,0,0,0,0,0,0,48.77991776,50.03214061,46.54944226,53.42075707,49.48893966,56.29023595,166.2762727,160.9694671,160.8646292,171.564444,179.1192584,175.707939,75.28592949,77.38733525,80.94988994,84.94428484
8.20_222.0680n,222.067982,223.0752904,1,8.20175,2.213942437,0.099983333,0,0,0,Infinity,B_HD,A_LD,100 - 5.98,164.3709206,3.47,0,0,0,0,0,0.002389421,0,0,0,0,0,0,159.2106567,162.3188927,156.7531181,169.20728,169.8239297,168.9116463,31.1903829,34.92350924,34.89322927,38.80827266
8.02_322.2744n,322.2743953,361.2451224,1,8.01845,3.509908742,0.107116667,0,0,0,Infinity,B_HD,C_Norm,100,135.1534251,3.18,0,0,0,0,0,0,0,0,0,1.18404285,0,0,142.015943,132.0366034,131.9725121,138.83898,131.8568574,134.1996543,17.03018089,7.220557702,9.670217441,13.37268568
5.19_236.0360m/z,,236.0359746,1,5.19445,2.159943841,0.1119,0,0,0,Infinity,B_HD,C_Norm,100,134.2014774,4.65,0,0,0,0,0,0,19.96542054,23.84950589,17.50412114,24.04282566,25.88874505,27.18301755,143.0208782,138.7960367,127.5362656,128.8371612,136.7961977,130.2223248,48.54670603,42.80542062,44.09657437,40.17763873
7.48_162.0262n,162.0262138,127.0123608,1,7.475566667,1.295966305,0.0976,0,0,0,Infinity,B_HD,C_Norm,100 - 0.452,132.3074603,4.76,0,0,0,0,0,0,0,0,0,0.254284646,0,0,121.2202103,134.0727009,131.4538239,132.9056273,140.6527885,133.539611,20.00050466,22.33055261,21.99682107,20.12493051
7.48_322.1619m/z,,322.1619391,1,7.475566667,3.023921378,0.111883333,0,0,0,Infinity,B_HD,C_Norm,100,130.3679647,10.67,0,0,0,0,0,0,0,0,0,0,0,0,133.5009645,104.1621899,131.7595357,145.6395345,136.3881017,130.7574616,35.31655284,33.3831771,18.23821334,26.9265434
5.08_210.9688m/z,,210.9688309,1,5.075416667,1.997948053,0.107116667,0,0,0,Infinity,B_HD,C_Norm,100 - 0.983,113.4719564,8.86,0,0,0,0,0,0,2.945508119,3.752587719,1.418068961,4.085874095,2.509550557,3.771118528,123.4697876,123.4844567,109.4369535,119.4015205,105.1140575,99.92496239,27.90423517,19.26761683,26.09183691,26.75600345
6.22_409.0150m/z,,409.0150121,1,6.223133333,3.995896107,0.1119,0,0,0,Infinity,B_HD,C_Norm,100 - 2.79,113.1583492,8.44,0,0,0,0,0,0,0,0,0,0,0,0,121.6751508,97.3311655,106.3725509,116.0307833,115.9775915,121.5628531,13.69933956,15.31316236,23.86340388,16.39159047
